# Segments csv created Sun Mar  5 10:54:31 2017
# num_ytids=22160, num_segs=22160, num_unique_labels=527, num_positive_labels=52882
index,YTID,start_seconds,end_seconds,positive_labels,private,unavailable,views,likes,rating,comments
0,--PJHxphWEs,30.0,40.0,"/m/09x0r,/t/dd00088",False,False,16988,197,0.0,3
1,--ZhevVpy1s,50.0,60.0,/m/012xff,False,True,0,0,0.0,0
2,--aE2O5G5WE,0.0,10.0,"/m/03fwl,/m/04rlf,/m/09x0r",False,False,194475,2,0.0,0
3,--aO5cdqSAg,30.0,40.0,"/t/dd00003,/t/dd00005",False,True,0,0,0.0,0
4,--aaILOrkII,200.0,210.0,"/m/032s66,/m/073cg4",False,False,56854,183,0.0,31
5,--cB2ZVjpnA,30.0,40.0,/m/01y3hg,False,False,41301,38,0.0,1
6,--ekDLDTUXA,30.0,40.0,"/m/015lz1,/m/07pws3f",False,False,9167,88,0.0,5
7,-0DLPzsiXXE,30.0,40.0,"/m/04rlf,/m/07qwdck",False,False,309329,415,0.0,10
8,-0DdlOuIFUI,50.0,60.0,"/m/0130jx,/m/02jz0l,/m/0838f",False,False,83324,229,0.0,50
9,-0FHUc78Gqo,30.0,40.0,"/m/02w4v,/m/04rlf",False,False,0,0,0.0,0
10,-0O3e95y4gE,100.0,110.0,"/m/07r4wb8,/t/dd00125",False,False,16246,320,0.0,0
11,-0SdAVK79lg,30.0,40.0,"/m/0155w,/m/01lyv,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y,/m/0gg8l",False,False,231717,1256,0.0,82
12,-0Vl4HyWRk8,410.0,420.0,"/m/085jw,/m/0l14l2",False,True,0,0,0.0,0
13,-0mG4W5Hlq8,270.0,280.0,"/m/04rlf,/m/05fw6t,/m/07r4k75,/m/09x0r,/m/0ytgt",False,True,0,0,0.0,0
14,-0mjrMposBM,80.0,90.0,/m/04zmvq,False,False,17753,182,0.0,13
15,-11LhdJgBb8,30.0,40.0,"/m/04rlf,/m/07qn4z3",False,False,33014,216,0.0,16
16,-1LrH01Ei1w,30.0,40.0,"/m/02p0sh1,/m/04rlf",False,False,121087,256,0.0,31
17,-1TLtjPtnms,10.0,20.0,"/m/03lty,/m/04rlf,/m/07szfh9",False,False,0,0,0.0,0
18,-1iKLvsRBbE,80.0,90.0,"/m/015lz1,/m/07pws3f",False,False,14343,334,0.0,7
19,-24dqQM_rDk,30.0,40.0,"/m/04rlf,/t/dd00003",False,False,152340,2149,0.0,0
20,-275_wTLm-4,7.0,17.0,/m/07q6cd_,False,False,8788,9,0.0,4
21,-28U1_qW0sU,30.0,40.0,/m/07qwdck,False,False,26311,11,0.0,0
22,-2PDE7hUArE,30.0,40.0,"/m/02mk9,/m/07pb8fc,/t/dd00066",False,False,214246,170,0.0,26
23,-2X03mO3T_U,30.0,40.0,"/m/04k94,/m/0dv3j",False,False,28205,70,0.0,11
24,-2hQKCE-oTI,30.0,40.0,/m/07pbtc8,False,False,112384,293,0.0,66
25,-30H9V1IKps,6.0,16.0,"/m/07yv9,/m/09x0r,/m/0gvgw0",False,False,54253,11,0.0,0
26,-38Qgsbh7NQ,100.0,110.0,"/m/013y1f,/m/03xq_f",False,False,41383,33,0.0,10
27,-3HYdaJyF4U,30.0,40.0,"/m/04rlf,/m/06rqw",False,False,268544,368,0.0,91
28,-3IGxVTJvgI,30.0,40.0,"/m/06bz3,/m/09x0r",False,False,146682,2059,0.0,96
29,-3IYpJfLVJk,30.0,40.0,"/m/03k3r,/m/07q5rw0,/m/0jbk",False,False,92104,412,0.0,61
30,-3hKkjKmIGE,30.0,40.0,"/m/019jd,/m/06q74",False,False,18350,16,0.0,0
31,-3pPrlCm6gg,30.0,40.0,/m/01wy6,False,False,15787,206,0.0,29
32,-4NLarMj4xU,30.0,40.0,"/m/04rlf,/t/dd00034",False,False,1958080,51933,0.0,2700
33,-4RWqM0UCCY,0.0,10.0,"/m/012n7d,/m/02mfyn,/m/03j1ly,/m/03kmc9",False,False,13791,16,0.0,20
34,-4hZyOdm7EI,200.0,210.0,"/m/015lz1,/m/015vgc",False,False,884910,2811,0.0,186
35,-4xJv59_zcA,30.0,40.0,"/m/07pl1bw,/m/083vt",False,False,9925,8,0.0,2
36,-5-vmt2iKT0,30.0,40.0,"/m/02zsn,/m/09x0r",False,False,5349,8,0.0,0
37,-5DdYkYOjy0,30.0,40.0,/m/06h7j,False,False,79785,93,0.0,60
38,-5GhUbDLYkQ,16.0,26.0,"/m/0130jx,/m/02jz0l,/m/0838f",False,False,62218,190,0.0,16
39,-5Jlimvsuwo,90.0,100.0,"/m/011k_j,/m/04rlf",False,False,92587,273,0.0,25
40,-5Kk-m7BmiE,21.0,31.0,"/m/07pyf11,/m/07qmpdm",False,False,31934,13,0.0,0
41,-5S70zOSw30,30.0,40.0,"/m/030rvx,/m/07pzfmf,/m/09x0r",False,False,87060,0,0.0,0
42,-5f6hjZf9Yw,30.0,40.0,"/m/02w4v,/m/04rlf",False,False,246819,489,0.0,29
43,-5xOcMJpTUk,70.0,80.0,"/m/018vs,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/09x0r,/m/0fx80y",False,False,408433,1041,0.0,73
44,-60XojQWWoc,30.0,40.0,"/m/02rhddq,/m/07r04,/m/07yv9",False,False,30046,62,0.0,5
45,-64xnyOswXA,120.0,130.0,/m/0cdnk,False,False,256264,461,0.0,26
46,-693sNKI3iM,30.0,40.0,"/m/015lz1,/m/01swy6,/m/04rlf",False,False,40080,195,0.0,53
47,-6QGvxvaTkI,280.0,290.0,"/m/01p970,/m/026t6,/m/0l14md",False,False,68667,264,0.0,7
48,-6RN8skIHU4,20.0,30.0,"/m/09x0r,/m/0dv5r,/t/dd00125",False,False,51599,122,0.0,30
49,-6fxJZ7CW00,30.0,40.0,/m/07pjjrj,False,True,0,0,0.0,0
50,-6gC_nlUBfA,60.0,70.0,"/m/02y_763,/m/09x0r",False,False,99088,306,0.0,10
51,-6krAYK2LLo,30.0,40.0,"/m/04rlf,/m/06j64v,/m/0l14gg",False,False,248725,1166,0.0,113
52,-6pcgdLfb_A,110.0,120.0,"/m/04rlf,/t/dd00035",False,False,791070,5745,0.0,1500
53,-6sgMgtW91g,20.0,30.0,"/m/04rlf,/m/05rj2,/m/09x0r",False,True,0,0,0.0,0
54,-6x2PtSRfJU,30.0,40.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/09x0r",False,False,6168,143,0.0,3
55,-70MzkgSsHQ,30.0,40.0,"/m/04rlf,/m/04rzd",False,False,174369,472,0.0,58
56,-70wVF5u-gg,30.0,40.0,/m/07pn_8q,False,False,3865,2,0.0,1
57,-75IwDlkzDQ,30.0,40.0,"/m/01h82_,/m/02mk9",False,False,34254,33,0.0,12
58,-76P3VHPuus,10.0,20.0,/m/01jg1z,False,False,13846,32,0.0,18
59,-7J4109yM7w,30.0,40.0,"/m/02mk9,/m/07yv9,/t/dd00130",False,False,187870,689,0.0,65
60,-7QVE8o9uk4,30.0,40.0,"/m/01yg9g,/m/04rlf,/m/07yv9",False,False,73115,39,0.0,2
61,-7WpTk5AHfk,30.0,40.0,"/m/04rlf,/m/07pws3f,/m/09x0r",False,True,0,0,0.0,0
62,-7aibH1LKwI,90.0,100.0,/t/dd00121,False,False,0,0,0.0,0
63,-7wUQP6G5EQ,30.0,40.0,"/m/02cjck,/m/02w4v,/m/04rlf",False,False,353358,1062,0.0,25
64,-7ye24UFRng,0.0,10.0,"/m/032n05,/m/04rlf",False,False,22897,429,0.0,21
65,-7z662AsuTE,380.0,390.0,/m/0mbct,False,False,38241,303,0.0,40
66,-82vJ9bcar4,40.0,50.0,/m/0642b4,False,False,0,0,0.0,0
67,-8CrCItCO24,30.0,40.0,/m/07q7njn,False,False,26795,16,0.0,18
68,-8Ezw9946g8,100.0,110.0,/m/0fqfqc,False,False,25801,35,0.0,1
69,-8H4GKg-mYQ,30.0,40.0,"/m/04rlf,/m/07gxw",False,False,4703656,34814,0.0,3300
70,-8S_tLKfeJg,200.0,210.0,"/m/04fgwm,/m/09x0r,/t/dd00125",False,False,26514,39,0.0,16
71,-8_HpHg6nCw,30.0,40.0,"/m/07ptzwd,/m/0838f",False,False,37504,35,0.0,7
72,-8fQePz4FcE,30.0,40.0,"/m/04rlf,/m/07xzm,/t/dd00126",False,False,164943,1286,0.0,45
73,-8n2NqDFRko,30.0,40.0,"/m/02rhddq,/m/07r04,/m/07yv9,/m/09x0r",False,False,8526,5,0.0,3
74,-8wQV7VJnmM,30.0,40.0,"/m/04rlf,/m/04wptg,/t/dd00031",False,False,0,0,0.0,0
75,-92cYmTgIjM,190.0,200.0,/m/02fxyj,False,False,29130,419,0.0,39
76,-99daJhXYJY,30.0,40.0,"/m/019jd,/m/02rlv9,/m/03m9d0z,/t/dd00092",False,False,205711,39,0.0,10
77,-9ME9qMgkeY,270.0,280.0,"/m/08j51y,/m/09ct_",False,False,3618,6,0.0,7
78,-9Nl3LZBCOo,200.0,210.0,"/m/01s0vc,/m/09x0r",False,False,24866,63,0.0,51
79,-9c1c8G_WO8,24.0,34.0,"/m/07c52,/m/09x0r",False,False,216223,100,0.0,9
80,-9ek6eO0RtI,260.0,270.0,/m/03wwcy,False,False,108199,155,0.0,26
81,-9wxcZf43a4,530.0,540.0,/m/0cj0r,False,False,111651,169,0.0,47
82,-A0MTi2NMGI,30.0,40.0,/t/dd00134,False,False,32687,15,0.0,1
83,-AIrHVeCgtM,30.0,40.0,"/m/02rhddq,/m/07r04,/m/07yv9,/m/09x0r",False,False,10703,27,0.0,1
84,-ASYwidRD7M,30.0,40.0,/m/01d3sd,False,False,197934,488,0.0,23
85,-AgbNy9f2sg,80.0,90.0,"/m/019jd,/m/06q74",False,False,0,0,0.0,0
86,-Ar7D-GARhI,30.0,40.0,"/m/07bgp,/m/07q0h5t,/m/09x0r",False,False,186401,674,0.0,39
87,-AswFDuOptQ,0.0,10.0,"/m/04k94,/m/04rlf,/m/09x0r",False,False,429725,971,0.0,44
88,-AvC89aikTw,180.0,190.0,/m/0242l,False,True,0,0,0.0,0
89,-B3_mFE3pog,30.0,40.0,/m/07qfgpx,False,False,200307,2282,0.0,163
90,-BIMKnb3tlo,410.0,420.0,"/m/01p970,/m/026t6,/m/0l14md",False,False,58592,602,0.0,22
91,-BcwR0CSZ4w,150.0,160.0,"/m/07mzm6,/m/07ppn3j,/m/0ytgt",False,False,0,0,0.0,0
92,-BqpAyCLh7U,450.0,460.0,"/m/01m2v,/m/04rlf,/m/09x0r",False,False,302029,6202,0.0,493
93,-BwM5Va6XFg,70.0,80.0,"/m/023pjk,/m/04brg2",False,False,96666,602,0.0,42
94,-BxQ9nkrId4,30.0,40.0,/m/07qv_x_,False,False,13829,3,0.0,11
95,-By_0iIghuE,30.0,40.0,"/m/01yrx,/m/068hy,/m/07r81j2,/m/0jbk",False,False,169090,2323,0.0,176
96,-C5dEU4zpJg,30.0,40.0,"/m/025_jnm,/m/04rlf",False,False,8450,5,0.0,4
97,-CHMeZVAe2s,30.0,40.0,/m/01jg1z,False,False,16236,25,0.0,9
98,-CIxoobEubQ,250.0,260.0,"/m/02p01q,/m/07pdjhy,/m/083vt",False,False,145209,1320,0.0,97
99,-CUp_Tmg2Y0,30.0,40.0,"/m/01qbl,/m/026t6,/m/02hnl,/m/03qtq,/m/03t3fj,/m/0bm02,/m/0l14md",False,False,128305,247,0.0,115
100,-CgdUiJaNdU,170.0,180.0,"/m/07sq110,/m/09x0r",False,False,47878,385,0.0,24
101,-CniGkDLq-Y,30.0,40.0,"/m/04rlf,/t/dd00004",False,False,135859,444,0.0,192
102,-DBcp6YGi6k,30.0,40.0,/t/dd00018,False,False,378611,863,0.0,102
103,-DLL8LaKq-c,19.0,29.0,"/m/07pws3f,/m/09x0r",False,False,9915,9,0.0,5
104,-DNkAalo7og,30.0,40.0,"/m/02mk9,/m/07pb8fc,/t/dd00066",False,False,198080,217,0.0,42
105,-DWRAxaH_RY,300.0,310.0,"/m/04rlf,/m/09x0r,/m/0l156b",False,False,35870,86,0.0,0
106,-DYZX74qgFQ,30.0,40.0,"/m/04rlf,/t/dd00032",False,True,0,0,0.0,0
107,-DZMYxyB6L8,40.0,50.0,/m/05lls,False,False,138566,4202,0.0,580
108,-D_ljLTbCK0,220.0,230.0,"/m/04rlf,/m/09ct_",False,False,536766,961,0.0,0
109,-DcMk015qSA,290.0,300.0,/m/07qh7jl,False,False,16661,46,0.0,6
110,-DeAdhYKbGE,290.0,300.0,"/m/0192l,/m/085jw",False,False,91916,586,0.0,57
111,-Dj2PfPmynQ,30.0,40.0,"/m/04rlf,/m/0l14jd,/t/dd00003,/t/dd00004",False,False,384305,4868,0.0,279
112,-Dl-VzBPd9E,270.0,280.0,/m/028ght,False,False,1399425,3646,0.0,197
113,-Dtir74TiUM,40.0,50.0,"/m/01hgjl,/m/0283d,/m/04rlf,/m/07qb_dv",False,False,14395,28,0.0,13
114,-DvxsHG1tuo,410.0,420.0,"/m/04rlf,/m/05zppz,/m/07sr1lc,/m/09x0r",False,False,30718,1154,0.0,94
115,-E013cWxoMo,10.0,20.0,/m/02_nn,False,False,138382,199,0.0,50
116,-ECK_BisOLM,20.0,30.0,"/m/04rlf,/t/dd00006",False,False,22628,72,0.0,23
117,-EDGR1davAc,40.0,50.0,/m/0gy1t2s,False,False,9036,30,0.0,6
118,-EDhb2m8qhk,30.0,40.0,"/m/01z7dr,/m/04rlf",False,False,452201,1521,0.0,706
119,-EFS2mihxs0,240.0,250.0,"/m/02rhddq,/m/07yv9,/t/dd00129",False,False,9633,4,0.0,1
120,-ETHxO8vrAg,30.0,40.0,"/m/015lz1,/m/04rlf,/t/dd00004",False,False,370050,4765,0.0,0
121,-ETSfElMyNc,220.0,230.0,/m/0chx_,False,False,63214,54,0.0,54
122,-En5nC5Tka4,30.0,40.0,"/m/07qlwh6,/m/09x0r",False,False,60189,259,0.0,33
123,-F8ZP9sXcKM,5.0,15.0,/t/dd00006,False,False,30675,26,0.0,3
124,-FEPOSP7ay0,260.0,270.0,/m/0395lw,False,False,246664,605,0.0,0
125,-FFx68qSAuY,190.0,200.0,"/m/026t6,/m/02hnl,/m/02k_mr,/m/03t3fj,/m/06rvn,/m/0bm02,/m/0l14md",False,False,623847,5915,0.0,395
126,-FT5MbWPCzg,540.0,550.0,/m/03w41f,False,False,89520,451,0.0,73
127,-FVBrg2qeIA,90.0,100.0,"/m/0342h,/m/04rlf,/m/04szw,/m/07rwj3x,/m/09x0r,/m/0fx80y",False,False,0,0,0.0,0
